name,url,scraped
Derzkov D.,/player/derzkov-dmitriy/CrdYZot2,True
Skotnikov S.,/player/skotnikov-sergey/861WWcQi,True
Zolotov A.,/player/zolotov-andrey/WYDzhprR,True
Razinkov D.,/player/razinkov-dmitri/S64vdvGT,True
Libatskii A.,/player/libatskii-aleksandr/Imy7crxA,True
Abraamyan G.,/player/abraamyan-gevork/b7Mh9cLF,True
Nirkov I.,/player/nirkov-ivan/IZmX7nxe,True
Egorov N.,/player/egorov-nikolai/fNN4Duhj,True
Golovachev E.,/player/golovachev-eduard/IVsQQUkN,True
Panevin S.,/player/panevin-sergey/4WqdHjOf,True
Lednev I.,/player/lednev-ivan/0fmLRAzH,True
Razinkov T.,/player/razinkov-timofey/C8HfK31P,True
Tsvetkov A.,/player/tsvetkov-andrey/2NmNVMWo,True
Chernayvskiy S.,/player/chernayvskiy-serhii/GGUTtgT7,True
Perunov M.,/player/perunov-maxim/ULqqI2PL,True
Bazhinov Y.,/player/bazhinov-yaroslav/2cIkidZ0,True
Kruchkov E.,/player/kruchkov-evgeny/vJXvSJln,True
Parsegov G.,/player/parsegov-grigorii/hpOAgMUA,True
Bereznev D.,/player/bereznev-daniil/n7NEhtpH,True
Fedorov D.,/player/fedorov-dmitry/MZ407oB3,True
Arutiunov R.,/player/arutiunov-ruben/YgjzKOf9,True
Nyrkov V.,/player/nyrkov-vasilyi/EJxQIWYm,True
Kaplan S.,/player/kaplan-stanislav/OW2JckY8,True
Burdin A.,/player/burdin-aleksandr/CSerV56b,True
Kobytov R.,/player/kobytov-roman/4STRTTbE,True
Kalashnikov E.,/player/kalashnikov-evgeny/Od2pkbN0,True
Nechaev P.,/player/nechaev-pavel/vqkT8SMl,True
Koshchug E.,/player/koshchug-evgeniy/EPkk51qT,True
Harutyunyan H.,/player/harutyunyan-harutyun/I5zaJtL3,True
Golovinskii A.,/player/golovinskii-aleksei/nDMaSS1d,True
Zhelubenkov A.,/player/zhelubenkov-aleksei/UaShTOgn,True
Luchinin E.,/player/luchinin-evgenii/2JTSNNeD,True
Silantev A.,/player/silantev-aleksei/AHUo6gF9,True
Monakov A.,/player/monakov-alexander/vBFe8Rec,True
Toporkov A.,/player/toporkov-artur/ELeWfmIR,True
Chizhikov D.,/player/chizhikov-dmitrii/lU8kS0QD,True
Smyrnov D.,/player/smyrnov-dmytro/63dKFEFq,True
Stepanov E.,/player/stepanov-egor/8hGUNB8o,True
Petrovskiy E.,/player/petrovskiy-evgeniy/ncfvJrAF,True
Arteev T.,/player/arteev-timofey/hpG3lmP6,True
Dulatov M.,/player/dulatov-marat/YkKA4eGs,True
Kondratenko V.,/player/kondratenko-vasyl/S8sFydx3,True
Ivanov V.,/player/ivanov-viktor-ukr/nR9bN6qC,True
Tunitsyn D.,/player/tunitsyn-dmitriy/dC9QWE27,True
Andrusenko M.,/player/andrusenko-mihail/6VOtgI4l,True
Mamishev S.,/player/mamishev-sergey/67bP3fr4,True
Chumikov A.,/player/chumikov-andrey/E5DtCCBk,True
Krivoshey S.,/player/krivoshey-sergey/lWHbcYPg,True
Vasilchuk P.,/player/vasilchuk-pavel/hbiA7LK4,True
Zaika B.,/player/zaika-bohdan/hvkqVO4P,True
Rubcov S.,/player/rubcov-sergey/vLjboEJ0,True
Kuznetsov I.,/player/kuznetsov-ihor/r9NLJdQQ,True
Medvedenko V.,/player/medvedenko-valery/YBk8eUMD,True
Buriak B.,/player/buriak-borys/xY3rUpET,True
Vasylchuk P.,/player/vasylchuk-pavlo/z720CEI0,True
Borysov A.,/player/borysov-artem/dG3dDf3f,True
Brezickyi O.,/player/brezickyi-oleksandr/S4sx7dzo,True
Polosa M.,/player/polosa-maksym/SOwJxjQf,True
Makarchuk K.,/player/makarchuk-konstantin/6i042dGU,True
Rusin D.,/player/rusin-dmytro/zRbvpYXK,True
Ivchenko V.,/player/ivchenko-vitalii/dGuEMa1n,True
Popovichuk E.,/player/popovichuk-evgeniy/bm4KPBGq,True
Timchenko R.,/player/timchenko-roman/jPme0YA4,True
Demchenko V.,/player/demchenko-vladislav/pAqKvuMB,True
Kaznacheiev A.,/player/kaznacheiev-andrii/t8sTTPv5,True
Kasianov T.,/player/kasianov-tymofii/AeF6RBEe,True
Panin V.,/player/panin-vyacheslav/MkRQmU8L,True
Kolesnik P.,/player/kolesnik-petr/WzcRCmqr,True
Goloveshkin A.,/player/goloveshkin-aleksey/zBlJecr2,True
Gimadeev R.,/player/gimadeev-ruslan/4rz1peu2,True
Paukov V.,/player/paukov-vadim/YLdbKLLi,True
Yanishevskiy I.,/player/yanishevskiy-ilya/GSzlH1c3,True
Belanchik D.,/player/belanchik-dmitriy/Ac0S7JjK,True
Kramarenko A.,/player/kramarenko-aleksandr/4YfE6uzB,True
Kiulo S.,/player/kiulo-sergey/pvJpXPQ1,True
Tuchkevych V.,/player/tuchkevych-volodymyr/jHsMx5ro,True
Myrza A.,/player/myrza-anton/n5CgGLSe,True
Ilyushchenko S.,/player/ilyushchenko-sergey/4AjWo1Xg,True
Melkumyan S.,/player/melkumyan-samvel/jVzRxjys,True
Semenenko A.,/player/semenenko-artem/dtPr2qbc,True
Volynets O.,/player/volynets-oleg/0beowp2S,True
Govorunets A.,/player/govorunets-alexander/pzuG5Qhf,True
Voitenko Y.,/player/voitenko-yaroslav/YJ16kpSF,True
Riadynskyi Y.,/player/riadynskyi-yehor/IJZHXFgC,True
Volkovskyi V.,/player/volkovskyi-viktor/I3TK9L42,True
Dushak V.,/player/dushak-viktor/StBrqC5i,True
Diachenko I.,/player/diachenko-ivan/CnbeeYVe,True
Reva Y.,/player/reva-yuriy/E5gn48jl,True
Seliuk K.,/player/seliuk-kostiantyn/jqMdLA4N,True
Yakymchuk Y.,/player/yakymchuk-yevhen/2yHa9MTf,True
Dynaburg L.,/player/dynaburg-leonid/EHFO79hj,True
Zapletniuk A.,/player/zapletniuk-anatolii/Y9KYpZMp,True
Zaporozhets D.,/player/zaporozhets-dmytro/hAJF0mq8,True
Khalupenko P.,/player/khalupenko-pavlo/tbxHqeqk,True
Arevkin T.,/player/arevkin-tumofii/W0IJa7bE,True
Burdelnyi S.,/player/burdelnyi-serhii/UuAcXmPT,True
Ivchuk O.,/player/pinchuk-oleksandr/hrwwEf07,True
