,lPlayer,rPlayer,id,mergeCol
3591,Menshikov A.,Titov A.,jeQn80ts,Menshikov A.jeQn80ts
3592,Kutuzov O.,Menshikov A.,KEtTiud0,Kutuzov O.KEtTiud0
3593,Menshikov A.,Novikov I.,GrRHKKp1,Menshikov A.GrRHKKp1
3594,Kutuzov O.,Menshikov A.,zR6XuVG9,Kutuzov O.zR6XuVG9
3595,Menshikov A.,Novikov I.,OlMTpbng,Menshikov A.OlMTpbng
3596,Menshikov A.,Novikov I.,r5iYYIyU,Menshikov A.r5iYYIyU
3597,Menshikov A.,Nemashkalo V.,4dVtaflq,Menshikov A.4dVtaflq
3598,Menshikov A.,Novikov I.,h8S48m3T,Menshikov A.h8S48m3T
3599,Kutuzov O.,Menshikov A.,tjG798MP,Kutuzov O.tjG798MP
3600,Nemashkalo V.,Menshikov A.,hUZCmRa6,Nemashkalo V.hUZCmRa6
3601,Menshikov A.,Novikov I.,Ewy9l7p0,Menshikov A.Ewy9l7p0
3602,Menshikov A.,Kutuzov O.,040gsF9b,Menshikov A.040gsF9b
3603,Menshikov A.,Novikov I.,YDjlOLvH,Menshikov A.YDjlOLvH
3604,Menshikov A.,Kutuzov O.,EkHBA2AH,Menshikov A.EkHBA2AH
3605,Nemashkalo V.,Menshikov A.,K6t2Vc3s,Nemashkalo V.K6t2Vc3s
3606,Kutuzov O.,Menshikov A.,hYaq49tr,Kutuzov O.hYaq49tr
3607,Menshikov A.,Nemashkalo V.,63QK1GKq,Menshikov A.63QK1GKq
3608,Zhulyabin V.,Menshikov A.,r3SzkIJt,Zhulyabin V.r3SzkIJt
3609,Menshikov A.,Zhulyabin V.,KxwrE6lN,Menshikov A.KxwrE6lN
3610,Menshikov A.,Novikov I.,IHUmU5g1,Menshikov A.IHUmU5g1
3611,Zhulyabin V.,Menshikov A.,zguqVove,Zhulyabin V.zguqVove
3612,Menshikov A.,Nemashkalo V.,zDwgwkFH,Menshikov A.zDwgwkFH
3613,Novikov I.,Menshikov A.,WzBNya5f,Novikov I.WzBNya5f
3614,Kutuzov O.,Menshikov A.,pd0UFVpS,Kutuzov O.pd0UFVpS
3615,Novikov I.,Menshikov A.,Cr2MHiGF,Novikov I.Cr2MHiGF
3616,Menshikov A.,Nemashkalo V.,GdtS7Gni,Menshikov A.GdtS7Gni
3617,Menshikov A.,Novikov I.,OAVW6qY7,Menshikov A.OAVW6qY7
3618,Menshikov A.,Novikov I.,Q3ojRUDO,Menshikov A.Q3ojRUDO
3619,Menshikov A.,Kutuzov O.,vmqvUWT5,Menshikov A.vmqvUWT5
3620,Zhulyabin V.,Menshikov A.,CWkHOyhQ,Zhulyabin V.CWkHOyhQ
3621,Nemashkalo V.,Menshikov A.,06T2WgQp,Nemashkalo V.06T2WgQp
3622,Kutuzov O.,Menshikov A.,GbXu4akg,Kutuzov O.GbXu4akg
3623,Menshikov A.,Nemashkalo V.,UsZX5LKt,Menshikov A.UsZX5LKt
3624,Zhulyabin V.,Menshikov A.,I35Fmv5C,Zhulyabin V.I35Fmv5C
